State,Value,Uncertainty,Lifetime,Units,Ref
5p1/2,27.70,0.04,27.70(4),ns,E31
5p3/2,26.24,0.04,26.24(4),ns,E31
6s1/2,45.57,0.17,45.57(17),ns,E40
5d3/2,246.3,1.6,246.3(1.6),ns,E43
5d5/2,238.5,2.3,238.5(2.3),ns,E43
6d3/2,256,4,256(4),ns,E41
6d5/2,249,5,249(5),ns,E41
