State,Value,Uncertainty,Lifetime,Units,Ref
6p1/2,34.934,0.094,34.934(94),ns,E27
6p3/2,30.462,0.046,30.462(46),ns,E67
5d5/2,1353,5,1353(5),ns,E68
7s1/2,48.28,0.07,48.28(7),ns,E19
7p1/2,155,4,155(4),ns,E51
7p3/2,133,2,133(2),ns,E51
