From,To,value,uncertainity,Matrixelement,Ref
6p1/2,6s1/2,3.3251,0.0021,3.3251(21),E76
6p3/2,6s1/2,4.7017,0.0027,4.7017(27),E76
6p1/2,5d3/2,3.0413,0.0021,3.0413(21),E77
6p3/2,5d3/2,1.33199,0.00096,1.33199(96),E78
6p3/2,5d5/2,4.1028,0.0025,4.1028(25),E78
