From,To,value,uncertainity,Matrixelement,Ref
6s1/2,6p1/2,4.4978,0.0061,4.4978(61),E27
6s1/2,6p3/2,6.3349,0.0048,6.3349(48),E67
6p1/2,7s1/2,4.249,0.004,4.249(4),E62
6p3/2,7s1/2,6.489,0.005,6.489(5),E62
7p1/2,6s1/2,0.2781,0.00045,0.27810(45),E64
7p3/2,6s1/2,0.57417,0.00057,0.57417(57),E64
7p1/2,7s1/2,10.308,0.015,10.308(15),E29/E28
7p3/2,7s1/2,14.32,0.02,14.320(20),E29/E28
